TeamOne,TeamTwo,Winner
Duke,North Dakota St,Duke
Michigan State,Bradley,Michigan State
LSU,Yale,LSU
Virginia Tech,Saint Louis,Virginia Tech
Mississippi St,Liberty,Mississippi St
Maryland,Belmont,Maryland
Louisville,Minnesota,Minnesota
VCU,UCF,VCU
Gonzaga,FDU,Gonzaga
Michigan,Montana,Michigan
Texas Tech,N Kentucky,Texas Tech
Florida St,Vermont,Florida St
Marquette,Murray State,Murray State
Buffalo,ASU,Buffalo
Nevada,Florida,Florida
Syracuse,Baylor,Syracuse
Virginia,Gardner-Webb,Virginia
Tennessee,Colgate,Tennessee
Purdue,Old Dominion,Purdue
Kansas State,UC Irvine,Kansas State
Wisconsin,Oregon,Wisconsin
Villanova,Saint Marys,Saint Marys
Cincinnati,Iowa,Iowa
Ole Miss,Oklahoma,Oklahoma
North Carolina,Iona,North Carolina
Kentucky,Abil Christian,Kentucky
Houston,Georgia State,Houston
Kansas,Notheastern,Kansas
Auburn,New Mexico St,Auburn
Iowa State,Ohio State,Ohio State
Wofford,Seton Hall,Wofford
Utah State,Washington,Utah State
Duke,VCU,Duke
Michigan State,Minnesota,Michigan State
LSU,Maryland,Maryland
Virginia Tech,Mississippi St,Mississippi St
Gonzaga,Syracuse,Gonzaga
Michigan,Florida,Florida
Texas Tech,Buffalo,Texas Tech
Florida St,Murray State,Florida St
Virginia,Oklahoma,Virginia
Tennessee,Iowa,Tennessee
Purdue,Saint Marys,Purdue
Kansas State,Wisconsin,Wisconsin
North Carolina,Utah State,North Carolina
Kentucky,Wofford,Wofford
Houston,Ohio State,Ohio State
Kansas,Auburn,Auburn
Duke,Mississippi St,Duke
Michigan State,Maryland,Michigan State
Gonzaga,Florida St,Gonzaga
Florida,Texas Tech,Florida
Virginia,Wisconsin,Virginia
Tennessee,Purdue,Purdue
North Carolina,Auburn,North Carolina
Wofford,Ohio State,Ohio State
Duke,Michigan State,Duke
Gonzaga,Florida,Gonzaga
Virginia,Purdue,Purdue
North Carolina,Ohio State,North Carolina
Duke,Gonzaga,Duke
Purdue,North Carolina,North Carolina
Duke,North Carolina,Duke
