TeamOne,TeamTwo,Winner
Duke,North Dakota St,Duke
Michigan State,Bradley,Michigan State
LSU,Yale,LSU
Virginia Tech,Saint Louis,Virginia Tech
Mississippi St,Liberty,Mississippi St
Maryland,Belmont,Belmont
Louisville,Minnesota,Louisville
VCU,UCF,VCU
Gonzaga,FDU,Gonzaga
Michigan,Montana,Michigan
Texas Tech,N Kentucky,Texas Tech
Florida St,Vermont,Florida St
Marquette,Murray State,Murray State
Buffalo,ASU,Buffalo
Nevada,Florida,Florida
Syracuse,Baylor,Baylor
Virginia,Gardner-Webb,Virginia
Tennessee,Colgate,Tennessee
Purdue,Old Dominion,Purdue
Kansas State,UC Irvine,Kansas State
Wisconsin,Oregon,Wisconsin
Villanova,Saint Marys,Saint Marys
Cincinnati,Iowa,Iowa
Ole Miss,Oklahoma,Ole Miss
North Carolina,Iona,North Carolina
Kentucky,Abil Christian,Kentucky
Houston,Georgia State,Georgia State
Kansas,Notheastern,Kansas
Auburn,New Mexico St,Auburn
Iowa State,Ohio State,Iowa State
Wofford,Seton Hall,Wofford
Utah State,Washington,Utah State
Duke,VCU,Duke
Michigan State,Louisville,Michigan State
LSU,Belmont,LSU
Virginia Tech,Mississippi St,Mississippi St
Gonzaga,Baylor,Gonzaga
Michigan,Florida,Florida
Texas Tech,Buffalo,Buffalo
Florida St,Murray State,Murray State
Virginia,Ole Miss,Virginia
Tennessee,Iowa,Tennessee
Purdue,Saint Marys,Purdue
Kansas State,Wisconsin,Wisconsin
North Carolina,Utah State,North Carolina
Kentucky,Wofford,Wofford
Georgia State,Iowa State,Iowa State
Kansas,Auburn,Auburn
Duke,Mississippi St,Duke
Michigan State,LSU,Michigan State
Gonzaga,Murray State,Gonzaga
Florida,Buffalo,Florida
Virginia,Wisconsin,Virginia
Tennessee,Purdue,Purdue
North Carolina,Auburn,Auburn
Wofford,Iowa State,Wofford
Duke,Michigan State,Michigan State
Gonzaga,Florida,Gonzaga
Virginia,Purdue,Virginia
Auburn,Wofford,Wofford
Michigan State,Gonzaga,Michigan State
Virginia,Wofford,Virginia
Michigan State,Virginia,Michigan State
